,train_loss,validate_loss,validate_accuracy
0,3.4146197442212505,3.4248540407687114,0.0967
1,0.43821666497553863,0.2773243941535515,0.9199
2,0.25321284072330363,0.2134745209819554,0.94
3,0.19941030183590364,0.17617436541937354,0.9513
4,0.16463456653128133,0.149963592940647,0.9598
5,0.14009845730961645,0.1343008012169967,0.9633
6,0.1223174983690207,0.12379505675652899,0.9663
7,0.10870085110612754,0.11664153506824732,0.9679
8,0.09745664890293178,0.11124147000177677,0.9696
9,0.08824203360181146,0.10711753752230943,0.9704
10,0.08043216758617296,0.10366443435304246,0.9707
11,0.07383985653294697,0.10078334339279643,0.9718
12,0.06809321282047845,0.09834927373125989,0.972
13,0.06296372578131172,0.096974234151962,0.9721
14,0.058457971977098955,0.09547922625071685,0.9725
15,0.054377423315514276,0.09436587556351822,0.9726
16,0.05075643713802422,0.09383909975851777,0.9729
17,0.047443237629437564,0.09331858194992723,0.9725
18,0.04435782469308038,0.09328139550261562,0.9727
19,0.041634064968599845,0.09318240576065029,0.9731
20,0.0390705662335167,0.09323098619913318,0.973
21,0.036712108586761556,0.09338348933466907,0.9721
22,0.03448987487942848,0.09331075702886947,0.9727
23,0.03243924240203276,0.09332342820082147,0.9731
24,0.0305415011219705,0.09348792122570901,0.9732
25,0.02876601738516469,0.09363524035938542,0.9737
26,0.02713881157527715,0.09399117067933774,0.9736
27,0.02559295861124347,0.094137966770453,0.9739
28,0.02414599156519426,0.09478024974199445,0.9734
29,0.02273965896379684,0.09502134871457553,0.9736
30,0.021502975713478853,0.09504587315374612,0.9736
31,0.020339646423817935,0.09528526307792999,0.9736
32,0.019201435387186938,0.09586667155943858,0.9733
33,0.01817093117728594,0.09611959882598294,0.9739
34,0.017230482195121435,0.0962236927733099,0.9745
35,0.016312207605077945,0.09691512642111745,0.9743
36,0.015465495778691848,0.09681156024966533,0.9748
37,0.014641058173079329,0.09747022901127085,0.9745
38,0.013922777738039278,0.09766360209761826,0.9746
39,0.01322622074624606,0.09791082803990184,0.9749
40,0.012572211733597368,0.09849021455389455,0.975
41,0.012001317988607041,0.09902951069994471,0.9751
42,0.011409520722419048,0.09915675157766586,0.9749
43,0.010892666866381424,0.09966816551903955,0.9751
44,0.010414532390786432,0.09996768977856571,0.975
45,0.00995553654526964,0.10030840468173625,0.975
46,0.009521222762513345,0.10066881820756139,0.9747
47,0.009129448597408125,0.10122430566214582,0.9744
48,0.008749825147236786,0.10168469025819192,0.9747
49,0.008396518747938585,0.10211608997338784,0.9746
50,0.008048914097987572,0.10241098099328985,0.9745
51,0.007747113529113686,0.10277084138465686,0.9748
52,0.007423921530754021,0.10320383177897531,0.9752
53,0.007159138987968408,0.10356315040467064,0.9749
54,0.006883108029865112,0.10417130383274568,0.9746
55,0.0066221987440782445,0.10443751321075628,0.9746
56,0.006393324684307729,0.10471967873842247,0.9746
57,0.006149517700719662,0.10529286257305198,0.9748
58,0.0059434078994851465,0.10545426608328232,0.9747
59,0.005740750432210749,0.10592278901964335,0.9748
60,0.005538607104411218,0.1062937706168557,0.9748
61,0.005359244014148911,0.10660136571359549,0.975
62,0.005172908391529043,0.1068588353606367,0.9747
63,0.0050139242310196916,0.10720146422072696,0.9747
64,0.004853622797803414,0.10768821164780659,0.9746
65,0.004702670059663519,0.1078199064594135,0.9747
66,0.00456279236827534,0.10820080575829727,0.9748
67,0.0044254949579354535,0.10839330145042188,0.9748
68,0.00429556216695595,0.10874421160689143,0.9747
69,0.004173830363980195,0.10904569041327627,0.9749
70,0.00405731874282111,0.10937110718997578,0.9749
71,0.003943362050191346,0.10957350467592482,0.9748
72,0.0038358294466687226,0.10986620073246965,0.9748
73,0.0037387525482666284,0.11013565549264771,0.9748
74,0.003638365656626171,0.11050156594804225,0.9749
75,0.003550059670890814,0.11063019264358014,0.9748
76,0.0034569253244760736,0.11100476612353825,0.9749
77,0.0033769696081674683,0.11114360823408492,0.975
78,0.003293293193112868,0.11138601197358584,0.975
79,0.0032172607896391115,0.11156575491966236,0.9749
80,0.003141262202715265,0.11184400117323597,0.9749
